sEXT,sNEU,sAGR,sCON,sOPN,cEXT,cNEU,cAGR,cCON,cOPN,text
27,22,41,36,43,1,0,1,1,1,"العمل يرهقني لكنني اجني منه ثمارا كثيرة.
أحس أني ذو مستقبل زاهر مهنيا و شخصيا. لدي رفيق درب أستطيع أن اتكئ على كثفيه، أجده دائما مساندا و داعما لأفكار ي المهنية. المحيط الذي أعيش فيه يدعم أفكاري بكل ثقة "
35,33,39,35,46,1,1,1,1,1,ارى نفسي كانسانة متفتحة لتجارب جديدة لكنني أمل منها بسرعة، الدراسة علمتني و طورت شخصيتي بشكل كبير. اميل الى التعرب باناس جدد و مشاركة يومياتي مع الجميع رغم انني احب العزلة احيانا
38,32,36,35,43,1,1,1,1,1, دراستي تأخذ حيزا كبيرا من وقتي و اهتماماتي. بالموازنة مع الدراسة أحب الأعمال التطوعية و الاجتماعية و أسعى دائما لمساعدة الآخرين و أحب أن أرى البسمة على جميع الوجوه بدون استثناء لان ذلك يشعرني بالسعادة 
22,38,35,20,29,0,1,0,0,0,أعاني من مرض اضطراب الهلع وهذا يؤثر على عملي ودراستي وحياتي الشخصية أتابع مع أخصائي نفسي لكني لا أشعر بتحسن كبير أنا دائمة الخوف والتوتر والقلق من أبسط الأمور وثقتي بنفسي ضعيفة جدا
27,30,40,32,39,1,1,1,0,1,هناك الكثير من المسؤوليات الملقاة على عاتقي، الدراسة و العمل، واجباتي كأم و زوجة، إهتماماتي بنفسي و بمن أحب...، أحاول أن أخلق التوازن في حياتي قدر ما أستطيع، أوفق أحيانا و أخفق في أخرى لكن و الحمد لله أستمر و أثابر و أعلم أن الله لا يضيع أجر من أحسن عملا، علي فقط العمل و الإستعانة بالله و الصبر على مصائب الحياة و الله ولي التوفيق
28,29,36,38,42,1,1,1,1,1,لقد كنت شخصا لا مباريات بالدراسة و المستقبل. لكن كانت سنة البكالوريا نقطة تحول في حياتي حيث فهمت قيمة الدراسة و المثابرة. و قيمة وضع اهداف و محاولة الوصول اليها باي شكل من الأشكال. فهاذا التفكير مكاني من تقدير نفسي اكثر. و التعرف عليها اكثر. كما انني عرفت مكامن قوتي و تقبلت نقاط ضعفي
23,18,37,32,36,0,0,1,0,0,بقدر الكد تكتسب المعالي و من طلب العلا سهر الليالي ، و من طلب العلا بغير كد اضاع العمر في طلب المحال . الدكتوراه حلم بالنسبة لي ، يجب الصبر على لصعوبات ويجب المثابرة لنيلها و تحقيق الامتياز فيها ، ان الله خلق عقل الانسان الذي لا حدود له ، يجب استغلاله في البحث و اختراع شيء يفيد البشرية . اتوكل على الله و اصلي صلاة الاستخارة و الله يختار لي الطريق الذي فيه خير لي و يعينني عليه و يسخر لي الناس لمساعدتي . 
22,20,39,36,32,0,0,1,1,0,تميزت دراستي الجامعية بمجموعة من الدكريات و الاحدات التي اثرت بشكل ايجابي علي طريقة تفكيري. علمتني كيف ارتب اولوياتي  و اتعامل مع المصاعب. كما مكنتني من معرفة المشاكل التي يمر منها الطالب الجامعي الشيء الدي جعلني الان كاستادة جامعية اتعامل مع هدا الطالب مع الاخد بعين الاعتبار تلك المشاكل  
24,30,34,30,32,0,1,0,0,0,"تربية الأبناء بين حضارة الغرب و تعاليم الإسلام.
تحد كبير يواجه كل أبوين يفكران في مستقبل أبناءهم في بلاد الغربة، كيف نربي أبناءنا و المجتمع كله متربص بالإسلام و المسلمين ليملي عليهم كيف يعيشون دينهم على هوى الدولة العلمانية، كيف تنبت الفتيات على العفة و الحياء و القوانين الوضعية تجرم لبس الحجاب في المدارس، كيف تربيهم على الدفاع عن دينهم وحرية التعبير متاحة إلا لمن يتكلم باسم الإسلام.
 حصار الإعلام و القوانين السياسية و نظرات المجتمع المشبع و المسير بما يمليه أصحاب القرار يولد لدى الأجيال القادمة اما نفورا من هذا الدين الذي سيكون سببا في بغض الناس لهم و عدم قبولهم في المجتمع، أو يولد كراهية و حقدا تدفعهم للتطرف و الإرهاب. 
صنف ثالث لا إلى هؤلاء ولا إلى هؤلاء، هم خاصة الخاصة اصطفاهم الله و هدى قلوبهم للخير بهداه و أنار بصائرهم بنوره فلم ينحازوا لفتن الدنيا و زخارفها سعيا لإرضاء قرناءهم من الغربيين و لم ينحازوا لظلامية الحاقدين الذين يفسرون آيات الله على هواهم ليبرروا القتل و الإرهاب.
هذا الصنف هو غاية كل أب و أم غيورين على دين ابناءهم و صلاحهم فلا راحة لهم حتى يبلغوا بهم بر الأمان و يحموهم من براثن الشيطان
فاللهم إنا نسألك صلاح النية و الذرية، رب اجعلني مقيم الصلاة و من ذريتي ربنا و تقبل دعاء "
30,17,42,39,42,1,0,1,1,1,"انا طالبة دكتورة، و أشعر بتوتر كبير رغم اني والحمد الله في السنة التالثة ونشرت مقالا، الا اني اشعر يقلق مستمر، انا ادرس حبا في العلم وليس من اجل العمل او من اجل ان اصبح أستاذة لانها الافضل للمرأة، اطلب العلم من اجل العلم. لا اريد عمل اريد العلم و اريد.
احبك خولة."
22,27,37,28,35,0,1,1,0,0,انها تجربة حياة فدراستي الجامعية ساهمت بشكل كبير في تطور شخصيتي من تلميذ متكاسل الى طالب ليس ب مجتهد لكن يحاول الانضباط  ثم الانضباط خلال الحصص الدراسية و التركيز مع شرح الاستاذ لكي افهم جيدا دروسي. فبالرغم من عدم اشتغالي و مراجعتي للدروس يوميا لكن فهمي الجيد لشرح الاستاذ ساعدني بشكل كبير في تطوير مستواي الدراسي و التحصل على نقط في ارتفاع مستمر.
26,28,36,36,37,0,1,1,1,0,"- الدراسة في الجامعة، زيادة على أهميتها في تلقيني المعارف والتقنيات الأساسية المتعلقة بالتخصص الذي اخترته، فقد شكلت هذه الفترة نافذة انفتحت من خلالها على أشخاص بعقليات وثقافات مختلفة، من مدن مختلفة وحتى من دول أخرى.
- تجربة العمل واجهت في بدايتها صعوبات كثيرة، لاسيما فيما يتعلق بمدى تطبيق ماهو نظري على أرض الواقع، كما أن ميدان العمل الذي أشتغل به للأسف يندر فيه الإخلاص والإثقان ويكثر فيه الغش والكذب والرشاوي.
- أحس أن الأيام والأسابيع تمر بسرعة غريبة، بروتين ممل."
24,16,36,31,39,0,0,1,0,1,و مع التقدم في العمر تنظج أكثر و تتغير نظرتك للامور و لا تبقى سطحيا في حكمك على الاشياء و يصبح اهم شيء لديك هو راحتك النفسية و سلامة محيطك...و مع التقدم في العمر تنظج أكثر و تتغير نظرتك للامور و لا تبقى سطحيا في حكمك على الاشياء و يصبح اهم شيء لديك هو راحتك النفسية و سلامة محيطك...
25,28,34,35,36,0,1,0,1,0,دراستي مرت بضروف صعبة رغم الفقر و الحاجة و لحدود الان، مازلنا نكافح و نقضي اليوم بكثير من الامل لمستقبل زاهر و لحال افضل. ففي كل عطلة اسافر للعمل في مجال البناء،  كل ذالك الفقر و الحاجة لم يمنع يوما  من السير في ذالك الهدف المنشود، و الذي هو الحل الوحيد للخروج من دوامة الفقر و ترقيع الوضعية،  بعد حصولي على الاجازة طرقنا كل الابواب للحصول على مصدر رزق لكن كل الوضائف بالماستر  بعدها دخلت غماره و بعد حصولي عليه  طرقت الابواب و لزلت، ثم بعد ذالك رأيت موضوع  بحث في مجال جديد  لم افهم فيه شيء في البداية بعدها قمت ببحث معمق، ادركت انه مهم للغاية، دفعت لتلك الاطروحة و نجحت فيها،  و ها انا ذا لزلت اكافح.
27,23,37,42,38,1,0,1,1,1,"وظيفتي كمدرسة  لها تأثير على شخصيتي بالإضافة إلى تأثيرها على البيئة من حولي ، حيث أنها تتطلب العديد من المتطلبات للنجاح فيها أهمها الصدق والأمانة والتسامح والعدالة وتقدير الجهد البشري ووضعها في النصاب القانوني الصحيح ، بالإضافة إلى الاهتمام بكل ما هو جديد ومتطور في عمل، أدوات وأبحاث ودراسات ...
وأهم ما في الأمر حب العمل وطلب رضا الله تعالى ."
22,29,34,27,30,0,1,0,0,0,السلام عليكم منذ بداية الموسم الدراسي لمست تغيرا كبيرا في رغبتي وحيويتي المعهودة و ما لبتث ان دخلت في وسواس و توتر بسبب الام في الراس والمعدة فسرها جميع الاطباء بانها نفسية وانعكست على جودة نومي ومردوديتي في العمل. و هذا طبعا زاد من انعزالي و كسلي و عدم الانخراط في مجموعة من الأعمال المفيدة .يمكنكم تحليل شخصيتي من اجل ايجاد الحلول الملاءمة لتقويتها و تنميتها وبالتالي تحسين الانتاجية في العمل والدراسة وشكرا.
20,25,35,34,38,0,1,0,1,1,"لنتكلم عن سنوات الدراسة بالجامعة، فهي من أحب فترات حياتي إلى قلبي. تغيرت فيها بشكل كبير، أو بالأحرى نضجت فيها بشكل كبير نظرا لتعدد التجارب التي مررت بها...جربت شعور النجاح والتميز وكذا شعور الفشل والاحباط....كونت علاقات اجتماعية (قليلة لكنها مازالت مستمرة) وتعرفت على نقط ضعفي وقوتي...كل هذا جعل مني الشخص الذي أنا عليه اليوم. أنا ممتنة لكل هذا. حاولت أن أختصر ما أمكن، وإلا فإنه لا يمكنني التعبير عن 5 سنوات من حياتي في سطرين اثنين.
أما عن أسبوعي...والذي لم ينته بعد، فإنه متعب نوعا ما....أقوم فيه بالكثير من العمل والقليل من الراحة، لكنني سعيدة بما أقوم به وأشعر مع ذلك بأنني في نعمة... ""وما نيل المطالب بالتمني ولكن تؤخذ الدنيا غلاباا"". ما إن أصل مبتغاي... سأنسى كل هذا التعب...الحمد لله. أكتب هذه الكلمات وأنا في استراحة ...سأعود إلى العمل الآن...وفقني الله وإياك...
"
29,29,38,31,32,1,1,1,0,0,الدراسة والبحث العلمي يحتاج الى الصبر والنفس الطويل والالتزام ببرنامج يومي دون التماطل في تطبيقه مع الابتعاد عن القلق والتعصب والاشخاص السلبيين والتركيزعلى تحقيق هدف محدد  بشتى الطرق دون الشعور بالاحباط
21,29,41,24,33,0,1,1,0,0,السلام عليكم، سأتحدث قليلا عن تجربتي في مسار  الدكتوراه بالأخص و أنا بصدد متابعتها في السنة الخامسة، سأقول رأيي بصراحة لو يعود الزمن لوراء لن أخوض تجربة إنهاء الدكتوراه، هي حقا مستوى جميل و ذو قيمة إن كنت طالب حاصل على دكتوراه فهي قيمة مضافة الينا كطلبة لكن صعوباتها المتعددة والتي تعد ولا تحصى تجعل مني شخصا مكتئبا في العديد من المرات، أولا على مستوى تعامل الأستاذ المشرف، ثانيا على المستوى المادي في الدراسات العليا مجموعة من التخصصات وأنا في تخصص البيولوجيا نحتاج فيه كطلبة مجموعة من الأدوات و المعدات التي لا تتوفر عليها و عند طلبها نسمع مجموعة من الأجوبة حتى نقوم بطلبها بأنفسنا، المهم الحصول على الدكتوراه شيئ جميل خاصة إن كان في سبيل تحقيق طموح شخص يحبك و يريد رؤيتك في مناصب راقية لكن ظروف العمل بها يأخذ منا الكثير من الوقت وكما قلت لو رجع الزمان لما تابعتها بل كنت سأبحث عن عمل بالأول وبعدها أنهي دراستي وهذا رأيي. 
24,32,35,34,42,0,1,0,1,1,كانت تجربتي الجامعية متميزة، رغم الصعاب رغم العثرات ولحظات السواد..كنت متيقنة أن كل شيء سيكون على ما يرام في نهاية المطاف. النهاية، تلك التي تنقش على أعتاب الزمان بدايات لا حصر لها.و ها أنا هنا أخوض تجربة جديدة في سلك الدكتوراه، و أنا على يقين تام أن الغذ أجمل.
26,30,32,31,35,0,1,0,0,0,كيف التعامل مع العلاقات السامة...هنالك اناس لا تردد في ابداء ملاحضات مدمرة الاخر عن غير قصد اما ان كان عن قصد كان الامر اخطر...نفس الاشخاص تلاحظ فيهم جل او اغلب الانتقات التي وجهتها الناس اخرين. لماذا الناس لا تردد في استعمال القلم الاحمر والبدء في العتاب  دون أن تنتبه ولو لهنيهة وتبدء غي انتقاد ذاتها..نفس الاشخاص اذا عكست لهم ملاحظاتها لاتتقبل او تنزه نفسها
29,25,41,35,34,1,1,1,1,0,الحياة الجامعية هي مدرسة بناء الذات والاحتكاك مع مجموعة من الناس وبناء أفكار جديدة حول ذاتك وذلك من خلال وضع النفس في مواقف متعددة ومحاولة التعامل مع كل وضعية وضعية 
26,22,37,34,36,0,0,1,1,0,"رحم الله عبدا عرف قدره,ان عمل اتقن,و ان عهد اوفى,اد عزم صبر,و ان انكسر قام,و ان هاجر لم يهجر,وكلما زاد عمره زاد علمه,فالعلم خير الزاد.و خير العلم ان لا اله الا اله."
29,19,37,40,47,1,0,1,1,1,الحياة مليئة بالأحداث و المفاجئات، لذا وجب علينا أن نكون دائما مستعدين لكل الأحداث سواء مفرحة أو محزنة. الحياة يجب أن نعيشها بإيجابية و بطموح تغذيها إلى أن تصل الى ما تريد و إلى ما تطمح. كن وسيلة تسبح بك العلوم إلى أعمق الأفكار و المعلومات في مختلف أنحاء العالم 
25,20,33,35,42,0,0,0,1,1,اكتسبت عدة معارف و مكتسبات خلال فترة الدراسة تكوين جيد اهلني إلى فهم عدة ظواهر وتحسين طريقة التفكير و حل المشاكل الشخصية والمهنية. وكدا الوثوق بالدات واكتساب شخصية قوية والا
29,21,36,37,39,1,0,1,1,1,التقيتها، كانت دافئة المبسم،يعلو وجهها تلك الحشمة المغرية، عيناها ذات بريق هو مزيج بين حنان الحبيبة و دفئ الأم، جميلة، حنونة. استقبلتني بلهفة، بحفاوة، بشوق و حب غامر و كنت أنا التائه الضائع في عروق يدها و بريق ابتسامتها و بين ثنايا تفاصيلها.
27,14,41,41,49,1,0,1,1,1,من الأفضل أن لا أكتب فإن بدأت بالكتابة فلن أتوقف حتى ينتهي حبر قلمي. إجابتي لكم  باختصار  المدرسة المغربية مصنع لإنتاج أناس أو أشخاص غير مؤهلين لسوق الشغل، من اعتمد فقط على المدرسة فكن متأكدا أنه سيبقى في مكانه.
32,19,39,40,46,1,0,1,1,1,"توصلت برسالتكم عبر الايميل و ترددت عن فتحها لأن أحيانا، و للأسف، يبعث الطلبة الباحثون رسائل تزعج المتلقي. يسعدني أن أساهم في تطوير عملكم. فهذه كذلك فرصة لي  كي أتحدث باللغة العربية. لاحظت بعض التكرار في الأسئلة المطروحة وأعتقد أن الأمر مقصود. (لم أكتب باللغة العربية منذ سنوات، فأعتذر عن ركاكة الأسلوب) 
أتمنى لكم التوفيق. "
34,26,35,38,45,1,1,0,1,1,مكنتني الدراسة الجامعية في شعبة علوم المعلوميات و الفيزياء من تحصيل معارف، تقنيات و مهارات متميزة بالإضافة إلى تكوين شخصية متميزة ذات طابع عملي و منتظم، حيث تمكنت من تطوير كل هذه المهارات من خلال عملي كمهندس في النظم المدمجة في مجال السيارات ذاتية القيادة و كذا الطائرات. وبتوفيق من الله تعالى تمكنت من بداية تحضير الدكتوراه في نفس المجال و أتمنى أن أوفق لتقديمها. أُسعدت كثيرا بكتابة هذه الأفكار باللغة العربية.
29,22,38,41,44,1,0,1,1,1,الحفاظ على المبادئ يتاتى بالاقتناع بها و الإقتناع بها يعني ان نعلم ان طريق الحفاظ عليها وعرة تحتاج إلى الصبر. أصحاب هذا الخيار عن قناعة سيتمكنون من التغلب على مصاعب الطريق مهما همت بالتشويش حتى يسلموا من ثقافة القطيع. 
22,27,31,33,35,0,1,0,0,0,تجربتي في الدراسة الجامعية كانت متميزة، فقد ساعدتني على تنمية ذاتي و في عدة اشياء اخرى... و حاليا قررة متابعة الدراسة في سلك الدكتورة لكي اصبح أستاذة جامعية بإذن الله ولكني في هذا الوقت اشعر يتشتت أفكاري و عدم القدرة على تحديد ما اريد
31,24,34,36,30,1,0,0,1,0,أشعر في بعض الاحيان بالندم على معرفة بعض الأشخاص و على بعض المواقف ، لكن الندم لايفيد في شيء لذلك اتدارك نفسي  و أفكر جيدا في تجاوز هذه الأفكار السلبية و أحاول ان استفيد من الاخطاء لكي تزيد قوتي و معرفتي بالاخرين.
37,20,34,39,43,1,0,0,1,1,في ظل الأزمة الصحية العالمية ، ان انقطاع الدراسة الحضوري له تأثير بالرغم من اعتماد وسائل بديلة كالتعليم عن بعد لكن يبقى الارتباط بالواقع  متميز بكل حيتياته و تفاصيله، تعرفنا على المعنى الحقيقي لقيمة المكان و الاشخاص 
24,37,35,39,40,0,1,0,1,1,في الدراسة مررت بعدة تجارب و محطات الإجازة و الماستر و الدكتوراه كانت تجربة مليئة بالمعاناة والحياة الجامعية القاسية و في نفس الوقت أجمل أيام الحياة و سافرت الى ألمانيا من أجل تكوين جامعي كانت تجربة رائعة للغاية 
28,17,33,38,48,1,0,0,1,1,لقد تغيرت شخصيتي مع مرور سنين الدراسة، لكن المرحلة التي شهدت فيها تكوينا قويا لشخصيتي هي في مرحلة الدكتوراه. حيث انني اكتسبت مجموعة من المميزات التي كانت حاسمة في بعض اختياراتي في الحياة.
18,23,42,29,36,0,0,1,0,0,كانت عندي افكار مسبقة  سلبية على الكلية التي درست فيها نظرا لما كان يقال في محيطنا لانه دائما كان ارتباط الدراسة هناك بالفشل و الكسل و الغباء لعدم الحصول على نقطة مشرفة لولوج كلية اخرى. هذه النظرة المحبطة من طرف المحيطين و كلمات الاحتقار و الاستهانة بقدراتنا المعرفية جعلت عقلي الباطني يصدق حقا انني فاشلة و لم استطع للاسف الاستمتاع بسنواتي الدراسية التي اصبحت تبدو لي اروع و احلى الذكريات نظرا لنضجي و تغيير نظرتي للحياة .
26,21,36,33,30,0,0,1,0,0,"حاليا اعمل بالوظيفة العمومية و اتابع دراستي الدكتوراة مما يؤثر سلبا على نفسيتي و اعصابي، توتر كبير و ضيق الوقت
افكر مرارا ان اترك الدراسة حتى اخفف الضغط على نفسيتي
لكنني اتردد لكون الوظيفة مملة و غير عادلة من حيث الاجر مقابل العمل"
27,25,28,28,39,1,1,0,0,1,تجربتي في الدراسة الجامعية كانت مبنية ليست على اختياراتي أنا بل نظرا للنظرة الاجتماعية التي ينظر بها للمهندسين... لكن بعد اجتياز الأسدس الأول ادركت أنه لا فاىدة في التذمر و الشكوى و لابد من الاجتهاد و العمل و هذا ما فعلته طوال سنوات دراستي الجامعية... لا أستطيع القول بأنني الآن أحب ما أفعل و لكن ما أدراني أنني كنت سأظل أحب ما أحب طيلة هذه السنوات لربما كنت سأنتهي بنفس الإحساس... 
27,16,40,35,32,1,0,1,1,0,الأشياء التي أحببتها في الحياة هي والدي وموارد المعلومات لأنها تجعلني أشعر بالقوة والسعادة. من خلال تجربتي في الحياة اعتقدت أنه لكي تعيش في الأرض يجب أن يكون لديك شيئان هما السلطة والتعليم في يدك
24,26,29,27,34,0,1,0,0,0,"لا افكر في اي شيء حاليا  لكن احب عملي كثيرا و اشعر انني محظوظة و احمد الله كثيرا على هده النعم الكثيرة 
بالنسبة للدراسة في الجامعة كانت جيدة نوعا ما كانت بعض الصعوبات "
23,24,43,38,42,0,0,1,1,1,الجامعة هي مرحلة مهمة في الحياة تعلمك الكثير من الأشياء من بينها الصبر والإلتزام وتكوين شخصية قوية  تجديد الأفكار ومن يكمل دراسته في الجامعة او  بالأحرى بعد الإجازة فهو شخص عرف وفكر مليا قبل اخذ هذا القرار رسم طريق طويل جدا لكنة مثمر نوعا ما ،سيحصد العديد من الاشياء في المستقبل رغم الثغرات والثعثرات التي يمكن ان تصادفة يسقط ويقوم مرة أخرى . تجربة جميلة تعلمك الإعتماد على نفسك تنمية الرصيد المعرفي بالعديد من المعلومات الجديدة والبحث المستمر والتعمق في العديد من الأشياء خصوصا المتعلقة بمجال تخصصك.  
28,31,32,31,39,1,1,0,0,1,إنه أول عام لي في هذه المدينة و في هذه الكلية، عموما أمور البحث لا بأس بها، ربما أجد بعض الصعوبات في الإندماج مع الآخرين، أحيانا أجد صعوبة في التعبير عن نفسي لأنني شخص بطبعي أميل إلى الإنعزال،  كما أنني أفكر أحيانا أنني لا أستطيع النجاح و أنني سأفشل ، أشياء مثل هذه الأمور تراودني . 
21,24,35,39,37,0,0,0,1,0,الدراسة بالجامعة و خاصة الدراسة بسلكي الماستر و الدكتوراه كانت بالنسبة لي تجربة جد متميزة أضافة الى حياتي الشئ الكثير،اكتسبت خلال هذه الفترة مهارات عدة سواء في الجانب العلمي أو الجانب الشخصي و المهني كطريقة التعامل مع الآخر و تدبير الجانب العلائقي،طريقة التعامل مع المشاكل و طريقة التفكير السليم....
25,14,41,42,44,0,0,1,1,1,طالب مسجل في سلك الدكتوراه سنة خامسة في جامعة سيدي محمد بن عبد الله، من بين الأشياء التي أومن بها هي مدى أهمية البحث في تطوير الذات والمجتمع رغم الظروف القاسية للبحث التي نمر بها. لكن بالعزيمة والارادة يذوب كل شئ.
26,13,40,32,42,0,0,1,0,1,"بشكل عام المرحلة الجامعية تختلف بشكل كلي عن المرحلة الثانوية، وفي عالمنا العربي الاختلاف هذا يتضاعف عن غيره من الدول. فالمدارس والثانويات بشكل عام قائمة وبشكل أساسي على الكثير من القوانين والقواعد التي على التلميذ التقيد بها، وفجأة يجد نفسه في مكان يملك فيه الكثير من الحرية، ومع ذلك يجد نفسه مقيداً.
 
هناك هو المسؤول عن نفسه وأي قرار يتخذه سيتحمل مسؤوليته وحده، وعليك تجربة يمكنها أن تكون الأفضل أو الأسوأ في حياتك.. الأمر يعتمد عليك."
22,24,40,39,39,0,0,1,1,1,"يومي مر متوترا قليلا لانه كان علي ان ارسل مقالا قبل المدة الزمنية المحددة, و لكن الحمد لله توفقت في ارساله. سبب توتري هو انني تركت العمل الى اخر لحظة.
يومي مر متوترا قليلا لانه كان علي ان ارسل مقالا قبل المدة الزمنية المحددة, و لكن الحمد لله توفقت في ارساله. سبب توتري هو انني تركت العمل الى اخر لحظة.
"
24,19,34,30,44,0,0,0,0,1,الحياة اللجامعية تبني شخصية الإنسان و تساعده على الانفتاح على الأخرين و العمل ينمي حس المسؤولية و مهارات التخطيط لكن العنل المكتبي الروتيني يقتل الابداع لهذا أحاول متابعة الدراسة و البحث و ممارسة أنشطة متنوعة الرياضة ، السفر، تعلم لغات جديدة....
29,18,33,42,49,1,0,0,1,1, المتعة في الطريق ليس في الوصول الى القمة، تقدير و حب الذات ضروري من أجل حب الغير، السلام الداخلي و الفهم العميق للحياة يجعلك قادر على مواكبة ما تسميه انت عراقيل و ما هو في الحقيقة سوى فرصة نجاح. 
21,20,36,35,33,0,0,1,1,0,"عبدة ربها صبورة جدا ، تحب الخير للجميع و تشعر بالراحة عند مساعدتهم ، و عند قيامي بعمل ما أسعى إلى إتقانه و ذلك يأخذ مني بعض الوقت. 
و لكن في بعض الأحيان أشعر أني قلقة إذا واجهت مشكلة عصيبة جدا فوق طاقتي,"
26,17,40,30,38,0,0,1,0,1,اشعر بانني مشوش الافكاار وكل ما يشغل بالي هو كيفية اطروحة دكتورتي رغم اني اضييع كتيرا من الوقت في الهاتف والامور غير المجدية تماما كما احس اني اصبحت منافق ،اضن ان هذا كل ما اريد قوله
26,19,31,31,39,0,0,0,0,1,"غالبا ما أشعر بالوحدة و الحنين إلى الماضي نظرا لقلة الأصحاب في حيي . لكن مع ذلك فإني نشيط في أغلب الأحيان , حيوي ومليئ بالأفكار الإبداعية , إذا أسندت إلي مهمة فإني أحاول جاهدا أن أتمها و أقوم بها على الوجه الأكمل , أحب أن أبحث وأحاول أن أفهم خبايا الظواهر الطبيعية "
19,22,36,37,36,0,0,1,1,0, تجربتي الجامعية كانت غنية جدة لان اختياري لمادة الرياضيات كان عن حب وشغف مما ساهم في إعطاء لمسة سعادة وتحقيق للذات خلال الدراسة الجامعية. بدأت حياتي المهنية كأستاذ للسلك الثانوي ،تخصص رياضيات ثم مفتش ممتاز لنفس التخصص ، احب المغامرة والبحث عن آفاق جديدة. اصدقائي على رؤوس الاصابع، أفضل التواجد مع أسرتي الصغيرة عوض شرب كأس قهوة مع صديق.
